Company Name,Industry,Symbol,Series,ISIN Code
ADF Foods Ltd.,CONSUMER GOODS,ADFFOODS,EQ,INE982B01019
Accelya Solutions India Ltd.,IT,ACCELYA,EQ,INE793A01012
Action Construction Equipment Ltd.,INDUSTRIAL MANUFACTURING,ACE,EQ,INE731H01025
Agro Tech Foods Ltd.,CONSUMER GOODS,ATFL,EQ,INE209A01019
Allcargo Logistics Ltd.,SERVICES,ALLCARGO,EQ,INE418H01029
Amrutanjan Health Care Ltd.,PHARMA,AMRUTANJAN,EQ,INE098F01031
Anant Raj Ltd.,CONSTRUCTION,ANANTRAJ,EQ,INE242C01024
Andhra Sugars Ltd.,CHEMICALS,ANDHRSUGAR,EQ,INE715B01021
Apar Industries Ltd.,INDUSTRIAL MANUFACTURING,APARINDS,EQ,INE372A01015
Apcotex Industries Ltd.,INDUSTRIAL MANUFACTURING,APCOTEXIND,EQ,INE116A01032
Arvind Fashions Ltd.,CONSUMER SERVICES,ARVINDFASN,EQ,INE955V01021
Arvind Ltd.,TEXTILES,ARVIND,EQ,INE034A01011
Ashiana Housing Ltd.,CONSTRUCTION,ASHIANA,EQ,INE365D01021
Astec LifeSciences Ltd.,FERTILISERS & PESTICIDES,ASTEC,EQ,INE563J01010
Astra Microwave Products Ltd.,INDUSTRIAL MANUFACTURING,ASTRAMICRO,EQ,INE386C01029
Automotive Axles Ltd.,AUTOMOBILE,AUTOAXLES,EQ,INE449A01011
BF Investment Ltd.,FINANCIAL SERVICES,BFINVEST,EQ,INE878K01010
BF Utilities Ltd.,CONSTRUCTION,BFUTILITIE,EQ,INE243D01012
BLS International Services Ltd.,CONSUMER SERVICES,BLS,EQ,INE153T01027
Bajaj Hindusthan Sugar Ltd.,CONSUMER GOODS,BAJAJHIND,EQ,INE306A01021
Balmer Lawrie & Co. Ltd.,INDUSTRIAL MANUFACTURING,BALMLAWRIE,EQ,INE164A01016
Banco Products (India) Ltd.,AUTOMOBILE,BANCOINDIA,EQ,INE213C01025
Barbeque Nation Hospitality Ltd.,CONSUMER SERVICES,BARBEQUE,EQ,INE382M01027
Bhansali Engineering Polymers Ltd.,CHEMICALS,BEPL,EQ,INE922A01025
Bliss GVS Pharma Ltd.,PHARMA,BLISSGVS,EQ,INE416D01022
Bodal Chemicals Ltd.,CHEMICALS,BODALCHEM,EQ,INE338D01028
Bombay Dyeing & Manufacturing Co. Ltd.,TEXTILES,BOMDYEING,EQ,INE032A01023
Borosil Ltd.,CONSUMER GOODS,BOROLTD,BE,INE02PY01013
Borosil Renewables Ltd.,INDUSTRIAL MANUFACTURING,BORORENEW,EQ,INE666D01022
CARE Ratings Ltd.,FINANCIAL SERVICES,CARERATING,EQ,INE752H01013
Camlin Fine Sciences Ltd.,CHEMICALS,CAMLINFINE,EQ,INE052I01032
Capacite Infraprojects Ltd.,CONSTRUCTION,CAPACITE,EQ,INE264T01014
Centrum Capital Ltd.,FINANCIAL SERVICES,CENTRUM,EQ,INE660C01027
Chemcon Speciality Chemicals Ltd.,CHEMICALS,CHEMCON,EQ,INE03YM01018
Chennai Petroleum Corporation Ltd.,OIL & GAS,CHENNPETRO,EQ,INE178A01016
Cigniti Technologies Ltd.,IT,CIGNITITEC,EQ,INE675C01017
Clariant Chemicals (India) Ltd.,CHEMICALS,CLNINDIA,EQ,INE492A01029
Confidence Petroleum India Ltd.,OIL & GAS,CONFIPET,EQ,INE552D01024
Cosmo Films Ltd.,INDUSTRIAL MANUFACTURING,COSMOFILMS,EQ,INE757A01017
Craftsman Automation Ltd.,AUTOMOBILE,CRAFTSMAN,EQ,INE00LO01017
D.B.Corp Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,DBCORP,EQ,INE950I01011
DFM Foods Ltd.,CONSUMER GOODS,DFMFOODS,EQ,INE456C01020
Dalmia Bharat Sugar and Industries Ltd.,CONSUMER GOODS,DALMIASUG,EQ,INE495A01022
Deepak Fertilisers & Petrochemicals Corp. Ltd.,CHEMICALS,DEEPAKFERT,EQ,INE501A01019
Den Networks Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,DEN,EQ,INE947J01015
Dhampur Sugar Mills Ltd.,CONSUMER GOODS,DHAMPURSUG,EQ,INE041A01016
Dish TV India Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,DISHTV,EQ,INE836F01026
Dishman Carbogen Amcis Ltd.,PHARMA,DCAL,EQ,INE385W01011
Dolat Algotech Ltd.,FINANCIAL SERVICES,DOLATALGO,EQ,INE966A01022
Dollar Industries Ltd.,TEXTILES,DOLLAR,EQ,INE325C01035
Dredging Corporation of India Ltd.,SERVICES,DREDGECORP,EQ,INE506A01018
ESAB India Ltd.,INDUSTRIAL MANUFACTURING,ESABINDIA,EQ,INE284A01012
Easy Trip Planners Ltd.,CONSUMER SERVICES,EASEMYTRIP,EQ,INE07O001018
Electrosteel Castings Ltd.,INDUSTRIAL MANUFACTURING,ELECTCAST,EQ,INE086A01029
Eveready Industries India Ltd.,CONSUMER GOODS,EVEREADY,EQ,INE128A01029
Excel Industries Ltd.,CHEMICALS,EXCELINDUS,EQ,INE369A01029
Federal-Mogul Goetze (India) Ltd.,AUTOMOBILE,FMGOETZE,EQ,INE529A01010
Filatex India Ltd.,TEXTILES,FILATEX,EQ,INE816B01027
Force Motors Ltd.,AUTOMOBILE,FORCEMOT,EQ,INE451A01017
Future Consumer Ltd.,CONSUMER SERVICES,FCONSUMER,EQ,INE220J01025
G.M. Breweries Ltd.,CONSUMER GOODS,GMBREW,EQ,INE075D01018
GE Power India Ltd.,INDUSTRIAL MANUFACTURING,GEPIL,EQ,INE878A01011
GE T&D India Ltd.,INDUSTRIAL MANUFACTURING,GET&D,EQ,INE200A01026
GTPL Hathway Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,GTPL,EQ,INE869I01013
Gabriel India Ltd.,AUTOMOBILE,GABRIEL,EQ,INE524A01029
Garden Reach Shipbuilders & Engineers Ltd.,INDUSTRIAL MANUFACTURING,GRSE,EQ,INE382Z01011
Gati Ltd.,SERVICES,GATI,EQ,INE152B01027
Genus Power Infrastructures Ltd.,INDUSTRIAL MANUFACTURING,GENUSPOWER,EQ,INE955D01029
Geojit Financial Services Ltd.,FINANCIAL SERVICES,GEOJITFSL,EQ,INE007B01023
Godawari Power & Ispat Ltd.,METALS,GPIL,EQ,INE177H01021
Goodyear India Ltd.,AUTOMOBILE,GOODYEAR,EQ,INE533A01012
Greenpanel Industries Ltd.,CONSUMER GOODS,GREENPANEL,EQ,INE08ZM01014
Greenply Industries Ltd.,CONSUMER GOODS,GREENPLY,EQ,INE461C01038
Gujarat Industries Power Co. Ltd.,POWER,GIPCL,EQ,INE162A01010
Gujarat Mineral Development Corporation Ltd.,METALS,GMDCLTD,EQ,INE131A01031
Gulf Oil Lubricants India Ltd.,OIL & GAS,GULFOILLUB,EQ,INE635Q01029
H.G. Infra Engineering Ltd.,CONSTRUCTION,HGINFRA,EQ,INE926X01010
HBL Power Systems Ltd.,INDUSTRIAL MANUFACTURING,HBLPOWER,EQ,INE292B01021
HIL Ltd.,CONSUMER GOODS,HIL,EQ,INE557A01011
HLE Glascoat Ltd.,INDUSTRIAL MANUFACTURING,HLEGLAS,EQ,INE461D01010
HSIL Ltd.,INDUSTRIAL MANUFACTURING,HSIL,EQ,INE415A01038
Healthcare Global Enterprises Ltd.,HEALTHCARE SERVICES,HCG,EQ,INE075I01017
Heranba Industries Ltd.,FERTILISERS & PESTICIDES,HERANBA,EQ,INE694N01015
Heritage Foods Ltd.,CONSUMER GOODS,HERITGFOOD,EQ,INE978A01027
Hester Biosciences Ltd.,PHARMA,HESTERBIO,EQ,INE782E01017
Himadri Speciality Chemical Ltd.,CHEMICALS,HSCL,EQ,INE019C01026
Himatsingka Seide Ltd.,TEXTILES,HIMATSEIDE,EQ,INE049A01027
Hindustan Construction Co. Ltd.,CONSTRUCTION,HCC,EQ,INE549A01026
Hindustan Foods Ltd.,CONSUMER GOODS,HNDFDS,EQ,INE254N01018
Hindustan Oil Exploration Co. Ltd.,OIL & GAS,HINDOILEXP,EQ,INE345A01011
Huhtamaki India Ltd.,INDUSTRIAL MANUFACTURING,HUHTAMAKI,EQ,INE275B01026
I G Petrochemicals Ltd.,CHEMICALS,IGPL,EQ,INE204A01010
ICRA Ltd.,FINANCIAL SERVICES,ICRA,EQ,INE725G01011
IFCI Ltd.,FINANCIAL SERVICES,IFCI,EQ,INE039A01010
IIFL Securities Ltd.,FINANCIAL SERVICES,IIFLSEC,EQ,INE489L01022
INEOS Styrolution India Ltd.,CHEMICALS,INEOSSTYRO,EQ,INE189B01011
ITD Cementation India Ltd.,CONSTRUCTION,ITDCEM,EQ,INE686A01026
Igarashi Motors India Ltd.,AUTOMOBILE,IGARASHI,EQ,INE188B01013
India Glycols Ltd.,CHEMICALS,INDIAGLYCO,EQ,INE560A01015
India Tourism Development Corporation Ltd.,CONSUMER SERVICES,ITDC,EQ,INE353K01014
Indian Hume Pipe Co. Ltd.,INDUSTRIAL MANUFACTURING,INDIANHUME,EQ,INE323C01030
Indian Metals & Ferro Alloys Ltd.,METALS,IMFA,EQ,INE919H01018
IndoStar Capital Finance Ltd.,FINANCIAL SERVICES,INDOSTAR,EQ,INE896L01010
Inox Wind Ltd.,INDUSTRIAL MANUFACTURING,INOXWIND,EQ,INE066P01011
Insecticides (I) Ltd.,FERTILISERS & PESTICIDES,INSECTICID,EQ,INE070I01018
Isgec Heavy Engineering Ltd.,INDUSTRIAL MANUFACTURING,ISGEC,EQ,INE858B01029
J.Kumar Infraprojects Ltd.,CONSTRUCTION,JKIL,EQ,INE576I01022
JBM Auto Ltd.,AUTOMOBILE,JBMA,EQ,INE927D01028
JMC Projects (India) Ltd.,CONSTRUCTION,JMCPROJECT,EQ,INE890A01024
JSW Ispat Special Products Ltd.,METALS,JSWISPL,EQ,INE743C01021
JTEKT India Ltd.,AUTOMOBILE,JTEKTINDIA,EQ,INE643A01035
Jagran Prakashan Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,JAGRAN,EQ,INE199G01027
Jai Corp Ltd.,INDUSTRIAL MANUFACTURING,JAICORPLTD,EQ,INE070D01027
Jaiprakash Associates Ltd.,CONSTRUCTION,JPASSOCIAT,EQ,INE455F01025
Jaiprakash Power Ventures Ltd.,POWER,JPPOWER,EQ,INE351F01018
Jammu & Kashmir Bank Ltd.,FINANCIAL SERVICES,J&KBANK,EQ,INE168A01041
Jindal Poly Films Ltd.,INDUSTRIAL MANUFACTURING,JINDALPOLY,EQ,INE197D01010
Jindal Worldwide Ltd.,TEXTILES,JINDWORLD,EQ,INE247D01039
KCP Ltd.,CEMENT & CEMENT PRODUCTS,KCP,EQ,INE805C01028
Kalyani Steels Ltd.,METALS,KSL,EQ,INE907A01026
Karnataka Bank Ltd.,FINANCIAL SERVICES,KTKBANK,EQ,INE614B01018
Kiri Industries Ltd.,CHEMICALS,KIRIINDUS,EQ,INE415I01015
Kirloskar Brothers Ltd.,INDUSTRIAL MANUFACTURING,KIRLOSBROS,EQ,INE732A01036
Kirloskar Ferrous Industries Ltd.,METALS,KIRLFER,EQ,INE884B01025
Kirloskar Oil Eng Ltd.,INDUSTRIAL MANUFACTURING,KIRLOSENG,EQ,INE146L01010
Kolte-Patil Developers Ltd.,CONSTRUCTION,KOLTEPATIL,EQ,INE094I01018
LG Balakrishnan & Bros Ltd.,AUTOMOBILE,LGBBROSLTD,EQ,INE337A01034
LT Foods Ltd.,CONSUMER GOODS,DAAWAT,EQ,INE818H01020
Lumax Auto Technologies Ltd.,AUTOMOBILE,LUMAXTECH,EQ,INE872H01027
MAS Financial Services Ltd.,FINANCIAL SERVICES,MASFIN,EQ,INE348L01012
MSTC Ltd.,SERVICES,MSTCLTD,EQ,INE255X01014
MTAR Technologies Ltd.,INDUSTRIAL MANUFACTURING,MTARTECH,EQ,INE864I01014
Mahanagar Telephone Nigam Ltd.,TELECOM,MTNL,EQ,INE153A01019
Maharashtra Scooters Ltd.,FINANCIAL SERVICES,MAHSCOOTER,EQ,INE288A01013
Maharashtra Seamless Ltd.,METALS,MAHSEAMLES,EQ,INE271B01025
Mahindra Lifespace Developers Ltd.,CONSTRUCTION,MAHLIFE,EQ,INE813A01018
Maithan Alloys Ltd.,METALS,MAITHANALL,EQ,INE683C01011
Man Infraconstruction Ltd.,CONSTRUCTION,MANINFRA,EQ,INE949H01023
Marksans Pharma Ltd.,PHARMA,MARKSANS,EQ,INE750C01026
Matrimony.Com Ltd.,CONSUMER SERVICES,MATRIMONY,EQ,INE866R01028
Mayur Uniquoters Ltd.,CONSUMER GOODS,MAYURUNIQ,EQ,INE040D01038
Mold-Tek Packaging Ltd.,INDUSTRIAL MANUFACTURING,MOLDTKPAC,EQ,INE893J01029
Morepen Laboratories Ltd.,PHARMA,MOREPENLAB,EQ,INE083A01026
Mrs. Bectors Food Specialities Ltd.,CONSUMER GOODS,BECTORFOOD,EQ,INE495P01012
NEOGEN CHEMICALS LTD.,CHEMICALS,NEOGEN,EQ,INE136S01016
NIIT Ltd.,IT,NIITLTD,EQ,INE161A01038
NRB Bearings Ltd.,INDUSTRIAL MANUFACTURING,NRBBEARING,EQ,INE349A01021
Nava Bharat Ventures Ltd.,POWER,NBVENTURES,EQ,INE725A01022
Navneet Education Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,NAVNETEDUL,EQ,INE060A01024
Neuland Laboratories Ltd.,PHARMA,NEULANDLAB,EQ,INE794A01010
Newgen Software Technologies Ltd.,IT,NEWGEN,EQ,INE619B01017
Novartis India Ltd.,PHARMA,NOVARTIND,EQ,INE234A01025
Nucleus Software Exports Ltd.,IT,NUCLEUS,EQ,INE096B01018
Olectra Greentech Ltd.,INDUSTRIAL MANUFACTURING,OLECTRA,EQ,INE260D01016
Orient Cement Ltd.,CEMENT & CEMENT PRODUCTS,ORIENTCEM,EQ,INE876N01018
Oriental Aromatics Ltd.,CHEMICALS,OAL,EQ,INE959C01023
Oriental Carbon & Chemicals Ltd.,CHEMICALS,OCCL,EQ,INE321D01016
Orissa Min Dev Co Ltd.,METALS,ORISSAMINE,EQ,INE725E01024
PC Jeweller Ltd.,CONSUMER GOODS,PCJEWELLER,EQ,INE785M01013
PNB Gilts Ltd.,FINANCIAL SERVICES,PNBGILTS,EQ,INE859A01011
PSP Projects Ltd.,CONSTRUCTION,PSPPROJECT,EQ,INE488V01015
PTC India Fin Serv Ltd.,FINANCIAL SERVICES,PFS,EQ,INE560K01014
PTC India Ltd.,POWER,PTC,EQ,INE877F01012
Paisalo Digital Ltd.,FINANCIAL SERVICES,PAISALO,EQ,INE420C01042
Panacea Biotec Ltd.,PHARMA,PANACEABIO,EQ,INE922B01023
Parag Milk Foods Ltd.,CONSUMER GOODS,PARAGMILK,EQ,INE883N01014
Pilani Investment and Industries Corporation Ltd.,FINANCIAL SERVICES,PILANIINVS,EQ,INE417C01014
Prakash Industries Ltd.,METALS,PRAKASH,EQ,INE603A01013
Prataap Snacks Ltd.,CONSUMER GOODS,DIAMONDYD,EQ,INE393P01035
Privi Speciality Chemicals Ltd.,CHEMICALS,PRIVISCL,EQ,INE959A01019
Punjab & Sind Bank,FINANCIAL SERVICES,PSB,EQ,INE608A01012
Punjab Chemicals & Crop Protection Ltd.,FERTILISERS & PESTICIDES,PUNJABCHEM,EQ,INE277B01014
Puravankara Ltd.,CONSTRUCTION,PURVA,EQ,INE323I01011
Quick Heal Technologies Ltd.,IT,QUICKHEAL,EQ,INE306L01010
R Systems International Ltd.,IT,RSYSTEMS,EQ,INE411H01032
RPSG Ventures Ltd.,IT,RPSGVENT,EQ,INE425Y01011
Ramco Industries Ltd.,CEMENT & CEMENT PRODUCTS,RAMCOIND,EQ,INE614A01028
Ramco Systems Ltd.,IT,RAMCOSYS,EQ,INE246B01019
Ramkrishna Forgings Ltd.,INDUSTRIAL MANUFACTURING,RKFORGE,EQ,INE399G01015
Rane Holdings Ltd.,AUTOMOBILE,RANEHOLDIN,EQ,INE384A01010
RattanIndia Enterprises Ltd.,POWER,RTNINDIA,EQ,INE834M01019
RattanIndia Power Ltd.,POWER,RTNPOWER,BE,INE399K01017
Raymond Ltd.,TEXTILES,RAYMOND,EQ,INE301A01014
Reliance Infrastructure Ltd.,POWER,RELINFRA,EQ,INE036A01016
Reliance Power Ltd.,POWER,RPOWER,EQ,INE614G01033
Religare Enterprises Ltd.,FINANCIAL SERVICES,RELIGARE,EQ,INE621H01010
Repco Home Finance Ltd.,FINANCIAL SERVICES,REPCOHOME,EQ,INE612J01015
Rupa & Company Ltd.,TEXTILES,RUPA,EQ,INE895B01021
S H Kelkar and Company Ltd.,CONSUMER GOODS,SHK,EQ,INE500L01026
SEAMEC Ltd.,SERVICES,SEAMECLTD,EQ,INE497B01018
SMS Pharmaceuticals Ltd.,PHARMA,SMSPHARMA,EQ,INE812G01025
Sadbhav Engineering Ltd.,CONSTRUCTION,SADBHAV,EQ,INE226H01026
Sagar Cements Ltd.,CEMENT & CEMENT PRODUCTS,SAGCEM,EQ,INE229C01021
Sandhar Technologies Ltd.,AUTOMOBILE,SANDHAR,EQ,INE278H01035
Sanghi Industries Ltd.,CEMENT & CEMENT PRODUCTS,SANGHIIND,EQ,INE999B01013
Sarda Energy and Minerals Ltd.,METALS,SARDAEN,EQ,INE385C01013
Saregama India Ltd,MEDIA ENTERTAINMENT & PUBLICATION,SAREGAMA,BE,INE979A01017
Sasken Technologies Ltd.,IT,SASKEN,EQ,INE231F01020
Satia Industries Ltd.,PAPER AND JUTE,SATIA,EQ,INE170E01023
Savita Oil Technologies Ltd.,OIL & GAS,SOTL,EQ,INE035D01012
Seshasayee Paper & Boards Ltd.,PAPER AND JUTE,SESHAPAPER,EQ,INE630A01024
Shalby Ltd.,HEALTHCARE SERVICES,SHALBY,EQ,INE597J01018
Shankara Building Products Ltd.,CONSUMER SERVICES,SHANKARA,EQ,INE274V01019
Shanthi Gears Ltd.,INDUSTRIAL MANUFACTURING,SHANTIGEAR,EQ,INE631A01022
Sharda Motor Industries Ltd.,AUTOMOBILE,SHARDAMOTR,EQ,INE597I01028
Shoppers Stop Ltd.,CONSUMER SERVICES,SHOPERSTOP,EQ,INE498B01024
